mass,ion,formula,,,
1420.6889,y15,C61 H98 N17 O20 S1,,,
1493.6543,a16-NH3,C66 H93 N16 O24,,,
1510.6809,a16,C66 H96 N17 O24,,,
1520.6652,b16-H2O,C67 H94 N17 O24,,,
1521.6492,b16-NH3,C67 H93 N16 O25,,,
1538.6758,b16,C67 H96 N17 O25,,,
1565.7417,y16-H2O,C70 H105 N18 O21 S1,,,
1566.7257,y16-NH3,C70 H104 N17 O22 S1,,,
1583.7523,y16,C70 H107 N18 O22 S1,,,
1624.6948,a17-NH3,C71 H102 N17 O25 S1,,,
1641.7213,a17,C71 H105 N18 O25 S1,,,
1651.7057,b17-H2O,C72 H103 N18 O25 S1,,,
1652.6897,b17-NH3,C72 H102 N17 O26 S1,,,
1652.7737,y17-H2O,C73 H110 N19 O23 S1,,,
1653.7577,y17-NH3,C73 H109 N18 O24 S1,,,
1669.7163,b17,C72 H105 N18 O26 S1,,,
1670.7843,y17,C73 H112 N19 O24 S1,,,
1681.7163,a18-NH3,C73 H105 N18 O26 S1,,,
1698.7428,a18,C73 H108 N19 O26 S1,,,
1708.7272,b18-H2O,C74 H106 N19 O26 S1,,,
1709.7112,b18-NH3,C74 H105 N18 O27 S1,,,
1726.7377,b18,C74 H108 N19 O27 S1,,,
1767.8007,y18-H2O,C77 H115 N20 O26 S1,,,
1768.7847,y18-NH3,C77 H114 N19 O27 S1,,,
1785.8112,y18,C77 H117 N20 O27 S1,,,
1838.8378,MH-H2O,C80 H120 N21 O27 S1,,,
1839.8218,MH-NH3,C80 H119 N20 O28 S1,,,
1856.8483,MH,C80 H122 N21 O28 S1,,,
